"customer_name","total_sales","total_profit","profit_prcnt","region"
"Sean Miller",23668,-1787,-7.55027885752915328700,"South"
"Tamara Chand",18436,8746,47.43979171186808418300,"Central"
"Raymond Buch",14345,6807,47.45207389334262809300,"West"
"Tom Ashbrook",13724,4600,33.51792480326435441600,"East"
"Adrian Barton",12183,5363,44.02035623409669211200,"Central"
"Becky Martin",10540,-1879,-17.82732447817836812100,"Central"
"Hunter Lopez",10523,5046,47.95210491304760999700,"East"
"Bill Shonely",10022,2558,25.52384753542207144300,"East"
"Sanjit Chand",9900,4668,47.15151515151515151500,"Central"
"Greg Tran",9384,1751,18.65942028985507246400,"East"
"Seth Vernon",9217,1357,14.72279483562981447300,"East"
"Sanjit Engle",8805,2825,32.08404315729699034600,"South"
"Christopher Conant",8765,1192,13.59954363947518539600,"East"
"Ken Lonsdale",8473,426,5.02773515873952555200,"West"
"Grant Thornton",8167,-3825,-46.83482306844618587000,"South"
"Peter Fuller",7680,543,7.07031250000000000000,"East"
"Todd Sumrall",7629,1835,24.05295582645169747000,"East"
"Edward Hooks",7448,589,7.90816326530612244900,"West"
"Jane Waco",7393,2073,28.04003787366427701900,"West"
"Karen Ferguson",7183,878,12.22330502575525546400,"West"
"Tom Boeckenhauer",7000,2240,32.00000000000000000000,"East"
"Daniel Raglin",6938,3051,43.97520899394638224300,"East"
"Nick Crebassa",6734,707,10.49896049896049896000,"West"
"Christopher Martinez",6682,3197,47.84495659982041305000,"South"
"Harry Marie",6622,1997,30.15705225007550588900,"Central"
"Jim Epp",6267,1358,21.66906015637466092200,"South"
"Karen Daniels",6241,2283,36.58067617369011376400,"East"
"Helen Wasserman",6100,1379,22.60655737704918032800,"Central"
"Clay Ludtke",6070,892,14.69522240527182866600,"West"
"Keith Dawkins",5873,2518,42.87416993018900051100,"East"
"Andy Reiter",5803,2602,44.83887644321902464200,"Central"
"Yana Sorensen",5755,1551,26.95047784535186794100,"West"
"Sean Braxton",5580,-762,-13.65591397849462365600,"Central"
"Nora Preis",5566,368,6.61157024793388429800,"West"
"William Brown",5522,823,14.90402028250633828300,"West"
"Caroline Jumper",5442,1382,25.39507533994854832800,"East"
"Quincy Jones",5434,956,17.59293338240706661800,"East"
"Anna Häberlin",5372,1095,20.38346984363365599400,"South"
"Rick Wilson",5350,1019,19.04672897196261682200,"West"
"Tonja Turnell",5302,1112,20.97321765371557902700,"Central"
"Maria Etezadi",5157,1488,28.85398487492728330400,"South"
"Laura Armstrong",5077,1042,20.52393145558400630300,"Central"
"Pete Kriz",5073,1716,33.82613837965700768800,"East"
"Fred Hopkins",5056,1992,39.39873417721518987300,"West"
"Luke Weiss",5048,773,15.31299524564183835200,"East"
"Cindy Stewart",5017,-6892,-137.3729320310942800,"East"
"Darrin Martin",4951,1660,33.52858008483134720300,"East"
"Dennis Pardue",4942,1789,36.19991906110886280900,"West"
"Max Jones",4910,655,13.34012219959266802400,"West"
"Tamara Willingham",4907,623,12.69614835948644793200,"West"
"Robert Marley",4881,1598,32.73919278836304036100,"West"
"Natalie Fritzler",4863,-2057,-42.29899239152786345900,"East"
"Joseph Airdo",4844,-1007,-20.78860445912469033900,"East"
"Nathan Mautz",4822,2247,46.59892160929075072600,"East"
"Keith Herrera",4810,458,9.52182952182952183000,"West"
"Alex Avila",4781,-650,-13.59548211671198494000,"Central"
"John Murray",4770,1173,24.59119496855345911900,"East"
"Tom Prescott",4739,-566,-11.94344798480692129100,"East"
"Patrick O'Brill",4734,414,8.74524714828897338400,"South"
"Shirley Daniels",4725,1841,38.96296296296296296300,"Central"
"Cathy Prescott",4696,222,4.72742759795570698500,"Central"
"Shahid Collister",4647,84,1.80761781794706262100,"South"
"John Lee",4519,-172,-3.80615180349634875000,"South"
"Ken Lonsdale",4517,143,3.16581802081027230500,"Central"
"Adam Bellavance",4488,1468,32.70944741532976827100,"East"
"Anthony Jacobs",4487,18,0.40115890349899710300,"East"
"Maribeth Schnelling",4469,581,13.00067129111658089100,"West"
"Suzanne McNair",4453,122,2.73972602739726027400,"East"
"Alan Dominguez",4353,1535,35.26303698598667585600,"West"
"Joseph Holt",4298,-1862,-43.32247557003257329000,"South"
"Jim Kriz",4268,1021,23.92221180880974695400,"West"
"Greg Maxwell",4252,112,2.63405456255879586100,"South"
"Giulietta Baptist",4177,914,21.88173330141249700700,"South"
"Christine Phan",4166,-814,-19.53912626020163226100,"East"
"Rick Huthwaite",4161,520,12.49699591444364335500,"West"
"Gary Hwang",4159,1187,28.54051454676604953100,"West"
"Grace Kelly",4149,539,12.99108218847915160300,"West"
"Tracy Blumstein",4087,-1720,-42.08465867384389527800,"East"
"Ellis Ballard",4037,692,17.14144166460242754500,"West"
"Harold Ryan",4006,1018,25.41188217673489765400,"West"
"Corinna Mitchell",4000,1367,34.17500000000000000000,"East"
"Lena Radford",3969,770,19.40035273368606701900,"West"
"Sarah Brown",3953,443,11.20667847204654692600,"West"
"Philisse Overcash",3911,926,23.67680900025568908200,"Central"
"Steven Roelle",3904,1863,47.72028688524590163900,"East"
"Susan Pistek",3902,49,1.25576627370579190200,"East"
"Zuschuss Carroll",3869,-1468,-37.94262083225639700200,"Central"
"Kelly Collister",3803,689,18.11727583486721009700,"West"
"Arianne Irving",3800,792,20.84210526315789473700,"West"
"Mitch Webber",3800,1017,26.76315789473684210500,"East"
"Sample Company A",3782,914,24.16710735060814383900,"West"
"Maria Etezadi",3770,356,9.44297082228116710900,"West"
"Kristen Hastings",3769,1039,27.56699389758556646300,"South"
"Natalie Webber",3769,945,25.07296365083576545500,"East"
"Dianna Wilson",3761,1159,30.81627226801382611000,"Central"
"Katrina Willman",3748,1606,42.84951974386339381000,"South"
"Caroline Jumper",3740,-458,-12.24598930481283422500,"South"
"Victoria Wilson",3726,-1078,-28.93183038110574342500,"East"
"Brosina Hoffman",3714,300,8.07754442649434571900,"West"
"Ross Baird",3654,-562,-15.38040503557744937100,"East"
"Fred Chung",3628,702,19.34950385887541345100,"West"
"Justin Deggeller",3565,535,15.00701262272089761600,"West"
"Brian Moss",3525,1135,32.19858156028368794300,"East"
"Bill Eplett",3502,1241,35.43689320388349514600,"Central"
"Rick Hansen",3492,515,14.74799541809851088200,"East"
"Thomas Boland",3483,805,23.11225954636807350000,"South"
"Dean percer",3465,-1017,-29.35064935064935064900,"South"
"James Galang",3452,687,19.90150637311703360400,"West"
"Anthony Rawles",3410,530,15.54252199413489736100,"West"
"Naresj Patel",3387,800,23.61972246826099793300,"East"
"Jonathan Doherty",3382,-268,-7.92430514488468361900,"East"
"Dan Reichenbach",3374,952,28.21576763485477178400,"West"
"Penelope Sewall",3373,1056,31.30744144678327898000,"West"
"Scot Coram",3356,279,8.31346841477949940400,"West"
"Mitch Willingham",3334,1449,43.46130773845230953800,"South"
"Peter McVee",3333,427,12.81128112811281128100,"East"
"Ted Trevino",3328,357,10.72716346153846153800,"West"
"Heather Kirkland",3300,617,18.69696969696969697000,"Central"
"Joseph Holt",3281,1149,35.01981103322157878700,"West"
"Penelope Sewall",3267,624,19.10009182736455463700,"South"
"Justin Deggeller",3258,597,18.32412523020257826900,"East"
"Joe Elijah",3253,769,23.63971718413771902900,"West"
"Brian Moss",3248,1011,31.12684729064039408900,"Central"
"Mark Cousins",3237,1557,48.10009267840593141800,"South"
"Bradley Drucker",3228,859,26.61090458488228005000,"South"
"Lena Creighton",3220,1178,36.58385093167701863400,"East"
"Rob Lucas",3173,94,2.96249606051055783200,"Central"
"Bart Watters",3164,673,21.27054361567635903900,"Central"
"Stefania Perrino",3152,-161,-5.10786802030456852800,"East"
"Christopher Conant",3137,965,30.76187440229518648400,"West"
"Lindsay Williams",3128,635,20.30051150895140665000,"West"
"Annie Thurman",3126,852,27.25527831094049904000,"East"
"Dean percer",3123,1202,38.48863272494396413700,"East"
"Yoseph Carroll",3116,834,26.76508344030808729100,"East"
"Doug Jacobs",3037,696,22.91735265064208100100,"East"
"Stewart Carmichael",3017,-840,-27.84222737819025522000,"East"
"Lena Creighton",2996,351,11.71562082777036048100,"West"
"Pierre Wener",2971,1415,47.62706159542241669500,"East"
"Sarah Foster",2961,315,10.63829787234042553200,"West"
"Randy Ferguson",2959,533,18.01284217641094964500,"South"
"Thomas Seio",2959,283,9.56404190604934099400,"South"
"Erica Smith",2944,911,30.94429347826086956500,"West"
"Dean Katz",2943,456,15.49439347604485219200,"West"
"Sung Pak",2929,629,21.47490611130078525100,"West"
"Bill Donatelli",2925,901,30.80341880341880341900,"Central"
"Toby Gnade",2916,644,22.08504801097393690000,"West"
"Cassandra Brandow",2903,-557,-19.18704788150189459200,"Central"
"Anna Gayman",2894,-369,-12.75051831375259156900,"Central"
"Sean Christensen",2888,37,1.28116343490304709100,"West"
"Alejandro Savely",2880,292,10.13888888888888888900,"Central"
"Ionia McGrath",2872,976,33.98328690807799442900,"West"
"John Lee",2870,-230,-8.01393728222996515700,"East"
"Theone Pippenger",2863,753,26.30108278030038421200,"Central"
"Resi Pölking",2861,677,23.66305487591751136000,"Central"
"Katherine Murray",2847,1072,37.65367053038285915000,"East"
"Helen Wasserman",2844,685,24.08579465541490857900,"West"
"Deborah Brumfield",2844,793,27.88326300984528832600,"East"
"Edward Hooks",2842,797,28.04363124560168895100,"East"
"Laurel Beltran",2837,-470,-16.56679591117377511500,"West"
"Todd Sumrall",2800,875,31.25000000000000000000,"Central"
"Michael Chen",2794,454,16.24910522548317823900,"West"
"Sam Craven",2786,-361,-12.95764536970567121300,"Central"
"Craig Molinari",2772,87,3.13852813852813852800,"Central"
"Anthony Johnson",2771,773,27.89606640202093107200,"West"
"Linda Cazamias",2765,232,8.39059674502712477400,"West"
"Joel Eaton",2757,-374,-13.56546971345665578500,"Central"
"Denise Monton",2755,1282,46.53357531760435571700,"South"
"George Ashbrook",2748,683,24.85443959243085880600,"West"
"Sue Ann Reed",2743,344,12.54101348888078745900,"Central"
"Rob Williams",2737,527,19.25465838509316770200,"West"
"Adam Bellavance",2695,365,13.54359925788497217100,"West"
"Gary McGarr",2689,299,11.11937523242841204900,"West"
"Luke Foster",2681,-3805,-141.9246549794852700,"Central"
"Lindsay Castell",2677,268,10.01120657452372058300,"West"
"Scott Cohen",2666,460,17.25431357839459865000,"West"
"Dana Kaydos",2661,608,22.84855317549793310800,"Central"
"Justin Ellison",2658,777,29.23250564334085778800,"Central"
"Mick Hernandez",2656,146,5.49698795180722891600,"Central"
"Zuschuss Carroll",2644,346,13.08623298033282904700,"West"
"Steven Cartwright",2637,665,25.21805081532043989400,"West"
"Karen Ferguson",2634,632,23.99392558845861807100,"East"
"Joe Elijah",2630,209,7.94676806083650190100,"South"
"Speros Goranitis",2623,404,15.40221120853983987800,"East"
"Emily Ducich",2621,553,21.09881724532621137000,"East"
"Lauren Leatherbury",2615,512,19.57934990439770554500,"South"
"Natalie Fritzler",2615,426,16.29063097514340344200,"South"
"Sharelle Roach",2614,-3425,-131.0252486610558500,"West"
"Deirdre Greer",2594,583,22.47494217424826522700,"East"
"Ken Heidel",2589,527,20.35534955581305523400,"East"
"Joe Elijah",2589,315,12.16685979142526071800,"East"
"Gary Zandusky",2588,877,33.88717156105100463700,"East"
"Kean Thornton",2588,149,5.75734157650695517800,"East"
"Rick Reed",2584,589,22.79411764705882352900,"East"
"Sandra Glassco",2567,351,13.67354888975457732800,"West"
"Jeremy Lonsdale",2564,534,20.82683307332293291700,"West"
"Barry Gonzalez",2555,-697,-27.27984344422700587100,"South"
"Tamara Manning",2553,458,17.93967880924402663500,"West"
"Beth Thompson",2551,414,16.22892983143865150900,"West"
"Emily Phan",2548,-289,-11.34222919937205651500,"Central"
"Clay Ludtke",2547,467,18.33529642716921868900,"East"
"Rick Huthwaite",2545,758,29.78388998035363457800,"East"
"Ruben Ausman",2529,863,34.12415974693554764700,"South"
"Katharine Harms",2526,404,15.99366587490102929500,"East"
"Frank Preis",2504,452,18.05111821086261980800,"East"
"Meg Tillman",2504,421,16.81309904153354632600,"South"
"Eugene Moren",2499,538,21.52861144457783113200,"West"
"Michael Paige",2493,333,13.35740072202166065000,"Central"
"Liz Preis",2488,228,9.16398713826366559500,"Central"
"Juliana Krohn",2480,744,30.00000000000000000000,"Central"
"Paul Prost",2475,716,28.92929292929292929300,"South"
"John Murray",2473,440,17.79215527699150829000,"West"
"Joel Eaton",2470,413,16.72064777327935222700,"South"
"Kelly Lampkin",2458,27,1.09845402766476810400,"South"
"Cassandra Brandow",2456,483,19.66612377850162866400,"West"
"Dan Campbell",2448,-1121,-45.79248366013071895400,"South"
"Ann Chong",2445,272,11.12474437627811860900,"East"
"Jill Fjeld",2442,755,30.91728091728091728100,"South"
